zikao001.cn,3,1,4,0,1,2,2,3,2,0
bedahminat.com,0,0,0,0,0,0,0,0,0,0
fengooo.com,0,1,0,957,8,8,8,11,973,8
hcdesdeccd.cn,1,2,3,0,6,3,971,7,984,2
lijifeng.cn,2,931,0,3,2,941,12,1,960,0
shopmultimart.com,0,0,0,0,0,0,0,0,1,0
tmww.cn,0,0,44,0,2,0,0,2,0,0
wealthmosesministries.org,0,0,0,1,0,0,0,0,0,2
zjswjx.cn,8,9,16,100,1070,1006,25,23,12,11
bj-wxxc.com,0,0,0,2,0,12,29,45,1075,14
ffzxwz13.cn,3,1,1,2,3,3,963,11,978,2
igoodlife.cn,1,1,2,0,0,0,967,2,0,0
lycxhbsb.com,951,5,5,3,0,964,6,974,545,7
shunyicardiology.cn,1,0,3,0,0,4,5,3,4,3
traztech.ca,0,0,0,0,0,0,0,0,0,0
weciimaa.online,3,344,0,0,0,2,2,0,0,0
zxuekai.com,20,928,8,928,3,969,7,7,2,121
bjyjch.cn,6,2,0,1,4,5,947,343,9,4
fhjh.cn,1,0,0,0,1,0,0,0,0,0
j120-2.cn,0,913,0,0,4,4,3,65,10,3
oedda.com,2,0,0,0,0,1,0,1,1,0
shzhqbhshls.com,1,1,0,0,0,8,4,6,975,0
trippindaizy.store,0,0,0,0,0,0,0,0,0,0
xayh56.cn,0,928,0,952,3,2,9,4,977,1
